,location,date,total_cases,new_cases,total_deaths,new_deaths,population,cases_per_million
50302,Brazil,2020-03-13,13.0,0.0,0.0,0.0,215313504,6.037707695286962e-08
50303,Brazil,2020-03-14,13.0,0.0,0.0,0.0,215313504,6.037707695286962e-08
50304,Brazil,2020-03-15,84.0,71.0,0.0,0.0,215313504,3.9012880492623446e-07
50305,Brazil,2020-03-16,84.0,0.0,0.0,0.0,215313504,3.9012880492623446e-07
50306,Brazil,2020-03-17,84.0,0.0,0.0,0.0,215313504,3.9012880492623446e-07
50307,Brazil,2020-03-18,84.0,0.0,0.0,0.0,215313504,3.9012880492623446e-07
50308,Brazil,2020-03-19,84.0,0.0,0.0,0.0,215313504,3.9012880492623446e-07
50309,Brazil,2020-03-20,84.0,0.0,0.0,0.0,215313504,3.9012880492623446e-07
50310,Brazil,2020-03-21,84.0,0.0,0.0,0.0,215313504,3.9012880492623446e-07
50311,Brazil,2020-03-22,904.0,820.0,11.0,11.0,215313504,4.198529043491856e-06
50312,Brazil,2020-03-23,904.0,0.0,11.0,0.0,215313504,4.198529043491856e-06
50313,Brazil,2020-03-24,904.0,0.0,11.0,0.0,215313504,4.198529043491856e-06
50314,Brazil,2020-03-25,904.0,0.0,11.0,0.0,215313504,4.198529043491856e-06
50315,Brazil,2020-03-26,904.0,0.0,11.0,0.0,215313504,4.198529043491856e-06
50316,Brazil,2020-03-27,904.0,0.0,11.0,0.0,215313504,4.198529043491856e-06
50317,Brazil,2020-03-28,904.0,0.0,11.0,0.0,215313504,4.198529043491856e-06
50318,Brazil,2020-03-29,3417.0,2513.0,92.0,81.0,215313504,1.5869882457535037e-05
50319,Brazil,2020-03-30,3417.0,0.0,92.0,0.0,215313504,1.5869882457535037e-05
50320,Brazil,2020-03-31,3417.0,0.0,92.0,0.0,215313504,1.5869882457535037e-05
50321,Brazil,2020-04-01,3417.0,0.0,92.0,0.0,215313504,1.5869882457535037e-05
